seed,soil,season,states,info,growth_days,fertilizers,irrigation
Radish,Sandy loam,Rabi,Haryana,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS",Irrigate every 7–10 days - follow local extension recommendations
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal",Irrigate every 5–7 days
Lentil,Sandy loam,Rabi,Madhya Pradesh,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal - follow local extension recommendations","Usually rainfed, one irrigation at flowering"
Gram (Chickpea),Loamy,Rabi,UP,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal - follow local extension recommendations",One irrigation at pod formation (apply as needed)
Turmeric,Loamy,Kharif,Odisha,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits",Irrigate every 10–15 days - follow local extension recommendations
Ginger,Alluvial,Kharif,Karnataka,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Water every 7–10 days
Black Pepper,Laterite,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal",Irrigate every 10–12 days (apply as needed)
Cardamom,Forest soil,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal",Regular irrigation in dry months
Banana,Loamy,Annual,Tamil Nadu,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate every 7–10 days (apply as needed)
Mango,Alluvial,Perennial,Maharashtra,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Papaya,Loamy,Annual,Gujarat,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application - follow local extension recommendations,Irrigate every 7–10 days
Guava,Sandy loam,Perennial,UP,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual - follow local extension recommendations","Water young plants, flowering, fruiting"
Apple,Loamy,Rabi,Himachal Pradesh,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits",Water during fruit set and dry periods
Grapes,Sandy loam,Annual,Maharashtra,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Pineapple,Sandy loam,Annual,Assam,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal (apply as needed)",Irrigate every 10–15 days
Watermelon,Loamy,Kharif,Karnataka,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Water weekly until fruiting
Muskmelon,Loamy,Summer,Punjab,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set",Irrigate at 7–10 day intervals
Pomegranate,Loamy,Perennial,Karnataka,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual",Irrigate at flowering and fruiting - follow local extension recommendations
Coconut,Sandy loam,Perennial,Karnataka,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days
Tea,Laterite,Perennial,West Bengal,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular,Irrigate in dry months - follow local extension recommendations
Coffee,Loamy,Perennial,Karnataka,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season - follow local extension recommendations
Rubber,Laterite,Perennial,Kerala,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers - follow local extension recommendations",Irrigate in dry season (apply as needed)
Tobacco,Sandy loam,Rabi,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing",Irrigate every 7–10 days (apply as needed)
Jute,Alluvial,Kharif,Bihar,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal,Irrigate if rainfall is insufficient (apply as needed)
Cotton Hybrid,Black soil,Kharif,Maharashtra,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Irrigate at boll formation - follow local extension recommendations
Sesame,Sandy loam,Rabi,Rajasthan,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, irrigate at flowering - follow local extension recommendations"
Castor,Sandy loam,Kharif,Gujarat,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal,Irrigate at flowering and capsule formation - follow local extension recommendations
Safflower,Loamy,Rabi,Karnataka,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering","Usually rainfed, irrigate at flowering"
Linseed,Loamy,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal (apply as needed),Irrigate once at flowering - follow local extension recommendations
Peas,Sandy loam,Rabi,UP,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen",Irrigate at flowering and pod filling (apply as needed)
Rice,Clay,Rabi,Odisha,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage",Irrigate every 7–10 days
Wheat,Alluvial,Rabi,Punjab,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling (apply as needed)","Irrigate at CRI, booting, flowering, and grain filling (apply as needed)"
Maize,Alluvial,Kharif,Andhra Pradesh,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Water at knee-high, tasseling, grain filling"
Sugarcane,Loamy,Annual,Tamil Nadu,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal (apply as needed)","Water every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Gujarat,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering",Water every 7–12 days during boll formation
Pulses (Tur/Arhar),Sandy loam,Kharif,Karnataka,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen - follow local extension recommendations",One irrigation at flowering if dry - follow local extension recommendations
Groundnut,Sandy loam,Kharif,Gujarat,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal",Irrigate at pegging and pod development
Bajra (Pearl Millet),Light loam,Kharif,Rajasthan,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs - follow local extension recommendations",Usually rainfed; 1–2 irrigations if dry (apply as needed)
Jowar (Sorghum),Black soil,Rabi,Maharashtra,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal,Rainfed; irrigate at booting and grain filling
Barley,Loamy,Rabi,Rajasthan,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering - follow local extension recommendations,"2–3 irrigations: tillering, booting, grain filling"
Soybean,Black,Kharif,Maharashtra,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal (apply as needed)",Irrigate at pod initiation and seed filling - follow local extension recommendations
Mustard,Loamy,Rabi,Rajasthan,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing","Irrigate at branching, flowering, pod formation (apply as needed)"
Sunflower,Loamy,Kharif,Karnataka,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering - follow local extension recommendations","Water at seedling, flowering, seed filling"
Potato,Sandy loam,Rabi,UP,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses - follow local extension recommendations","Irrigate at stolon formation, tuber bulking - follow local extension recommendations"
Onion,Loamy,Rabi,Maharashtra,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash,"Irrigate every 10–12 days, critical at bulb formation - follow local extension recommendations"
Tomato,Loamy,Rabi,Karnataka,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits",Irrigate every 6–8 days - follow local extension recommendations
Brinjal,Loamy,Annual,Bihar,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits",Irrigate every 7–10 days (apply as needed)
Cabbage,Loamy,Rabi,Bihar,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal",Irrigate every 10–12 days (apply as needed)
Cauliflower,Loamy,Rabi,UP,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash - follow local extension recommendations",Irrigate every 8–10 days - follow local extension recommendations
Chilli,Loamy,Rabi,Andhra Pradesh,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering (apply as needed)",Water every 7–10 days
Carrot,Sandy loam,Rabi,Haryana,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS - follow local extension recommendations",Irrigate every 12–15 days - follow local extension recommendations
Radish,Sandy loam,Rabi,UP,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS (apply as needed)",Irrigate every 7–10 days
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal (apply as needed)",Irrigate every 5–7 days - follow local extension recommendations
Lentil,Loamy,Rabi,UP,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal","Usually rainfed, one irrigation at flowering - follow local extension recommendations"
Gram (Chickpea),Loamy,Rabi,Rajasthan,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal",One irrigation at pod formation - follow local extension recommendations
Turmeric,Alluvial,Kharif,Kerala,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits",Irrigate every 10–15 days - follow local extension recommendations
Ginger,Alluvial,Kharif,Kerala,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days - follow local extension recommendations
Black Pepper,Laterite,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal (apply as needed)",Water every 10–12 days
Cardamom,Loamy,Perennial,Karnataka,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal (apply as needed)",Regular irrigation in dry months
Banana,Loamy,Annual,Maharashtra,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Water every 7–10 days
Mango,Sandy loam,Perennial,Bihar,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set - follow local extension recommendations","Irrigate young plants, flowering, fruiting"
Papaya,Loamy,Annual,Gujarat,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application (apply as needed),Irrigate every 7–10 days
Guava,Sandy loam,Perennial,Bihar,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual","Irrigate young plants, flowering, fruiting"
Apple,Sandy loam,Rabi,Uttarakhand,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits (apply as needed)",Irrigate during fruit set and dry periods
Grapes,Loamy,Annual,Karnataka,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal - follow local extension recommendations",Irrigate every 7–10 days
Pineapple,Sandy loam,Annual,Assam,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Water every 10–15 days
Watermelon,Sandy loam,Summer,Rajasthan,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Irrigate weekly until fruiting - follow local extension recommendations
Muskmelon,Sandy loam,Summer,UP,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set (apply as needed)",Irrigate at 7–10 day intervals (apply as needed)
Pomegranate,Sandy loam,Perennial,Maharashtra,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual",Irrigate at flowering and fruiting (apply as needed)
Coconut,Coastal soil,Perennial,Tamil Nadu,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days - follow local extension recommendations
Tea,Loamy,Perennial,Kerala,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular (apply as needed),Irrigate in dry months
Coffee,Loamy,Perennial,Karnataka,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season - follow local extension recommendations
Rubber,Laterite,Perennial,Kerala,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers",Water in dry season
Tobacco,Sandy loam,Kharif,Andhra Pradesh,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing - follow local extension recommendations",Water every 7–10 days
Jute,Alluvial,Kharif,Assam,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Water if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,Maharashtra,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering - follow local extension recommendations",Irrigate at boll formation
Sesame,Alluvial,Kharif,UP,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, water at flowering"
Castor,Black soil,Rabi,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal (apply as needed),Irrigate at flowering and capsule formation - follow local extension recommendations
Safflower,Sandy loam,Rabi,Karnataka,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering","Usually rainfed, irrigate at flowering (apply as needed)"
Linseed,Loamy,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate once at flowering (apply as needed)
Peas,Sandy loam,Rabi,UP,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen (apply as needed)",Irrigate at flowering and pod filling (apply as needed)
Rice,Clay,Kharif,Odisha,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage (apply as needed)",Water every 7–10 days
Wheat,Alluvial,Rabi,Haryana,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling","Irrigate at CRI, booting, flowering, and grain filling"
Maize,Sandy loam,Rabi,Andhra Pradesh,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Irrigate at knee-high, tasseling, grain filling - follow local extension recommendations"
Sugarcane,Alluvial,Annual,Uttar Pradesh,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal","Irrigate every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Maharashtra,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering (apply as needed)",Irrigate every 7–12 days during boll formation - follow local extension recommendations
Pulses (Tur/Arhar),Sandy loam,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen",One irrigation at flowering if dry - follow local extension recommendations
